,actor,character,min_year,max_year,episodes,wiki
0,Johnny Galecki,Leonard,2006,2019,279,"<a href=""https://fr.wikipedia.org/wiki/Johnny_Galecki"">wikipedia Johnny Galecki</a>"
1,Jim Parsons,Sheldon,2006,2019,279,"<a href=""https://fr.wikipedia.org/wiki/Jim_Parsons"">wikipedia Jim Parsons</a>"
2,Kaley Cuoco,Penny,2007,2019,278,"<a href=""https://fr.wikipedia.org/wiki/Kaley_Cuoco"">wikipedia Kaley Cuoco</a>"
3,Simon Helberg,Howard,2007,2019,279,"<a href=""https://fr.wikipedia.org/wiki/Simon_Helberg"">wikipedia Simon Helberg</a>"
4,Kunal Nayyar,Raj,2007,2019,279,"<a href=""https://fr.wikipedia.org/wiki/Kunal_Nayyar"">wikipedia Kunal Nayyar</a>"
5,Melissa Rauch,Bernadette,2009,2019,209,"<a href=""https://fr.wikipedia.org/wiki/Melissa_Rauch"">wikipedia Melissa Rauch</a>"
6,Mayim Bialik,Amy,2010,2019,203,"<a href=""https://fr.wikipedia.org/wiki/Mayim_Bialik"">wikipedia Mayim Bialik</a>"
7,Kevin Sussman,Stuart,2009,2019,84,"<a href=""https://fr.wikipedia.org/wiki/Kevin_Sussman"">wikipedia Kevin Sussman</a>"
8,Carol Ann Susi,Debbie,2007,2017,39,"<a href=""https://fr.wikipedia.org/wiki/Carol_Ann_Susi"">wikipedia Carol Ann Susi</a>"
9,John Ross Bowie,Barry,2009,2019,25,"<a href=""https://fr.wikipedia.org/wiki/John_Ross_Bowie"">wikipedia John Ross Bowie</a>"
10,Laura Spencer,Emily,2014,2017,17,"<a href=""https://fr.wikipedia.org/wiki/Laura_Spencer"">wikipedia Laura Spencer</a>"
11,Wil Wheaton,Wil,2009,2019,17,"<a href=""https://fr.wikipedia.org/wiki/Wil_Wheaton"">wikipedia Wil Wheaton</a>"
12,Brian George,Dr.V.M.,2007,2019,16,"<a href=""https://fr.wikipedia.org/wiki/Brian_George"">wikipedia Brian George</a>"
13,Christine Baranski,Dr.Beverly,2009,2019,16,"<a href=""https://fr.wikipedia.org/wiki/Christine_Baranski"">wikipedia Christine Baranski</a>"
14,Brian Posehn,Bert,2013,2019,15,"<a href=""https://fr.wikipedia.org/wiki/Brian_Posehn"">wikipedia Brian Posehn</a>"
15,Laurie Metcalf,Mary,2007,2018,14,"<a href=""https://fr.wikipedia.org/wiki/Laurie_Metcalf"">wikipedia Laurie Metcalf</a>"
16,Joshua Malina,President,2011,2019,13,"<a href=""https://fr.wikipedia.org/wiki/Joshua_Malina"">wikipedia Joshua Malina</a>"
17,Aarti Mann,Priya,2010,2011,12,"<a href=""https://fr.wikipedia.org/wiki/Aarti_Mann"">wikipedia Aarti Mann</a>"
18,Ian Scott Rudolph,Captain,2009,2014,1,"<a href=""https://fr.wikipedia.org/wiki/Ian_Scott_Rudolph"">wikipedia Ian Scott Rudolph</a>"
19,Brian Thomas Smith,Zack,2010,2019,11,"<a href=""https://fr.wikipedia.org/wiki/Brian_Thomas_Smith"">wikipedia Brian Thomas Smith</a>"
20,Alice Amter,Mrs.Koothrappali,2007,2015,10,"<a href=""https://fr.wikipedia.org/wiki/Alice_Amter"">wikipedia Alice Amter</a>"
21,Pamela Adlon,Halley,2016,2019,10,"<a href=""https://fr.wikipedia.org/wiki/Pamela_Adlon"">wikipedia Pamela Adlon</a>"
22,Sara Gilbert,Leslie,2007,2016,9,"<a href=""https://fr.wikipedia.org/wiki/Sara_Gilbert"">wikipedia Sara Gilbert</a>"
23,Rati Gupta,Anu,2018,2019,9,"<a href=""https://fr.wikipedia.org/wiki/Rati_Gupta"">wikipedia Rati Gupta</a>"
24,Kate Micucci,Lucy,2013,2017,8,"<a href=""https://fr.wikipedia.org/wiki/Kate_Micucci"">wikipedia Kate Micucci</a>"
25,Lauren Lapkus,Denise,2018,2019,8,"<a href=""https://fr.wikipedia.org/wiki/Lauren_Lapkus"">wikipedia Lauren Lapkus</a>"
26,Stephen Hawking,Stephen,2012,2017,7,"<a href=""https://fr.wikipedia.org/wiki/Stephen_Hawking"">wikipedia Stephen Hawking</a>"
27,Regina King,Janine,2013,2019,6,"<a href=""https://fr.wikipedia.org/wiki/Regina_King"">wikipedia Regina King</a>"
28,Bob Newhart,Arthur,2013,2018,6,"<a href=""https://fr.wikipedia.org/wiki/Bob_Newhart"">wikipedia Bob Newhart</a>"
29,Casey Sander,Mike,2012,2015,6,"<a href=""https://fr.wikipedia.org/wiki/Casey_Sander"">wikipedia Casey Sander</a>"
30,Dean Norris,Colonel,2016,2017,6,"<a href=""https://fr.wikipedia.org/wiki/Dean_Norris"">wikipedia Dean Norris</a>"
31,Michael Massimino,Mike,2012,2014,6,"<a href=""https://fr.wikipedia.org/wiki/Michael_Massimino"">wikipedia Michael Massimino</a>"
32,Vernee Watson,Althea,2006,2016,5,"<a href=""https://fr.wikipedia.org/wiki/Vernee_Watson"">wikipedia Vernee Watson</a>"
33,Mark Harelik,Dr.Eric,2007,2008,5,"<a href=""https://fr.wikipedia.org/wiki/Mark_Harelik"">wikipedia Mark Harelik</a>"
34,Keith Carradine,Wyatt,2010,2019,5,"<a href=""https://fr.wikipedia.org/wiki/Keith_Carradine"">wikipedia Keith Carradine</a>"
35,Alessandra Torresani,Claire,2016,2017,5,"<a href=""https://fr.wikipedia.org/wiki/Alessandra_Torresani"">wikipedia Alessandra Torresani</a>"
36,Pasha D. Lychnikoff,Dimitri,2012,2012,5,"<a href=""https://fr.wikipedia.org/wiki/Pasha_D._Lychnikoff"">wikipedia Pasha D. Lychnikoff</a>"
37,Ed Lieberman,Announcer,2010,2018,5,"<a href=""https://fr.wikipedia.org/wiki/Ed_Lieberman"">wikipedia Ed Lieberman</a>"
38,Robert Clotworthy,Announcer,2008,2015,4,"<a href=""https://fr.wikipedia.org/wiki/Robert_Clotworthy"">wikipedia Robert Clotworthy</a>"
39,Margo Harshman,Alex,2012,2013,4,"<a href=""https://fr.wikipedia.org/wiki/Margo_Harshman"">wikipedia Margo Harshman</a>"
40,Sara Rue,Dr.Stephanie,2008,2008,3,"<a href=""https://fr.wikipedia.org/wiki/Sara_Rue"">wikipedia Sara Rue</a>"
41,Brian Patrick Wade,Kurt,2007,2009,3,"<a href=""https://fr.wikipedia.org/wiki/Brian_Patrick_Wade"">wikipedia Brian Patrick Wade</a>"
42,LeVar Burton,LeVar,2011,2014,3,"<a href=""https://fr.wikipedia.org/wiki/LeVar_Burton"">wikipedia LeVar Burton</a>"
43,Stephen Merchant,Dave,2015,2015,3,"<a href=""https://fr.wikipedia.org/wiki/Stephen_Merchant"">wikipedia Stephen Merchant</a>"
44,Riki Lindhome,Ramona,2008,2017,3,"<a href=""https://fr.wikipedia.org/wiki/Riki_Lindhome"">wikipedia Riki Lindhome</a>"
45,Kathy Bates,Mrs.Fowler,2018,2018,3,"<a href=""https://fr.wikipedia.org/wiki/Kathy_Bates"">wikipedia Kathy Bates</a>"
46,Kimberly Brooks,Computer,2007,2017,3,"<a href=""https://fr.wikipedia.org/wiki/Kimberly_Brooks"">wikipedia Kimberly Brooks</a>"
47,Ira Flatow,Ira,2009,2017,3,"<a href=""https://fr.wikipedia.org/wiki/Ira_Flatow"">wikipedia Ira Flatow</a>"
48,Swati Kapila,Ruchi,2017,2017,3,"<a href=""https://fr.wikipedia.org/wiki/Swati_Kapila"">wikipedia Swati Kapila</a>"
49,Marcus Folmar,Guard,2010,2016,3,"<a href=""https://fr.wikipedia.org/wiki/Marcus_Folmar"">wikipedia Marcus Folmar</a>"
50,Jerry O'Connell,George,2018,2018,3,"<a href=""https://fr.wikipedia.org/wiki/Jerry_O'Connell"">wikipedia Jerry O'Connell</a>"
51,Kal Penn,Dr.Kevin,2019,2019,3,"<a href=""https://fr.wikipedia.org/wiki/Kal_Penn"">wikipedia Kal Penn</a>"
52,Teller,Larry,2018,2018,3,"<a href=""https://fr.wikipedia.org/wiki/Teller"">wikipedia Teller</a>"
53,Sean Astin,Dr.Greg,2019,2019,3,"<a href=""https://fr.wikipedia.org/wiki/Sean_Astin"">wikipedia Sean Astin</a>"
54,James Hong,Chen,2007,2008,2,"<a href=""https://fr.wikipedia.org/wiki/James_Hong"">wikipedia James Hong</a>"
55,Erin Allin O'Reilly,Cheryl,2007,2008,2,"<a href=""https://fr.wikipedia.org/wiki/Erin_Allin_O'Reilly"">wikipedia Erin Allin O'Reilly</a>"
56,Lio Tipton,Analeigh,2008,2015,2,"<a href=""https://fr.wikipedia.org/wiki/Lio_Tipton"">wikipedia Lio Tipton</a>"
57,Molly Morgan,Bethany,2009,2015,2,"<a href=""https://fr.wikipedia.org/wiki/Molly_Morgan"">wikipedia Molly Morgan</a>"
58,Neil deGrasse Tyson,Neil,2010,2018,2,"<a href=""https://fr.wikipedia.org/wiki/Neil_deGrasse_Tyson"">wikipedia Neil deGrasse Tyson</a>"
59,Katee Sackhoff,Katee,2009,2010,2,"<a href=""https://fr.wikipedia.org/wiki/Katee_Sackhoff"">wikipedia Katee Sackhoff</a>"
60,Elena Campbell-Martinez,Maria,2008,2015,2,"<a href=""https://fr.wikipedia.org/wiki/Elena_Campbell-Martinez"">wikipedia Elena Campbell-Martinez</a>"
