,acteur,photo_count
0,Johnny Galecki,34
1,Jim Parsons,53
2,Kaley Cuoco,49
3,Simon Helberg,42
4,Kunal Nayyar,41
5,Melissa Rauch,15
6,Mayim Bialik,1
7,Kevin Sussman,28
8,John Ross Bowie,4
9,Laura Spencer,1
10,Brian George,7
11,Christine Baranski,8
12,Brian Posehn,1
13,Laurie Metcalf,3
14,Joshua Malina,1
15,Aarti Mann,10
16,Ian Scott Rudolph,1
17,Brian Thomas Smith,1
18,Alice Amter,10
19,Pamela Adlon,1
20,Sara Gilbert,11
21,Kate Micucci,1
22,Lauren Lapkus,1
23,Stephen Hawking,1
24,Regina King,1
25,Bob Newhart,12
26,Casey Sander,1
27,Dean Norris,1
28,Michael Massimino,1
29,Vernee Watson,1
30,Mark Harelik,7
31,Keith Carradine,1
32,Alessandra Torresani,1
33,Pasha D,1
34,Robert Clotworthy,1
35,Margo Harshman,1
36,Sara Rue,8
37,LeVar Burton,1
38,Stephen Merchant,1
39,Riki Lindhome,1
40,Kathy Bates,1
41,Kimberly Brooks,1
42,Ira Flatow,1
43,Swati Kapila,1
44,Marcus Folmar,1
45,Jerry O'Connell,1
46,Kal Penn,1
47,Teller,1
48,Sean Astin,1
49,James Hong,6
50,Erin Allin O'Reilly,1
51,Lio Tipton,1
52,Molly Morgan,1
53,Elena Campbell-Martinez,1
54,Brooke D'Orsay,11
55,Sarayu Blue,1
56,Michael Trucco,1
57,Andrew W,1
58,Charlie Sheen,1
59,DJ Qualls,1
60,Octavia Spencer,1
61,Rachel Cannon,1
62,Allen Nabors,1
63,Travis Schuldt,1
64,Michael Hyatt,1
65,Judith Moreland,1
66,Austin Lee,1
67,Howard Chan,1
68,Samantha Potter,1
69,Sierra Edwards,1
70,Treisa Gary,9
71,Jennifer Hale,1
72,Tyler Jon Olson,1
73,Emily Happe,1
74,Emma Degerstedt,1
75,Ronald Hunter,1
76,Livia Treviño,1
77,Adam Gregor,1
78,Kimberly Jeppson,1
79,Sherry Weston,1
80,Mark Hames,1
81,Amanda Walsh,1
82,Iris Bahr,1
83,Joel Brooks,1
84,William Ngo,1
85,Rati Gupta,1
86,Wil Wheaton,20
87,Carol Ann Susi,3
88,Brian Patrick Wade,1
